<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,D,20191212,000000,247.6400000,254.6600000,247.3500000,250.4800000,78.677.990
GAZP,D,20191213,000000,251.1100000,252.4800000,248.8000000,249.5000000,41.751.940
GAZP,D,20191216,000000,249.9000000,252.2200000,249.2000000,250.7800000,29.595.580
GAZP,D,20191217,000000,251.2400000,252.8600000,250.8000000,252.0500000,31.630.020
GAZP,D,20191218,000000,252.0000000,252.7100000,250.8500000,251.2900000,29.136.980
GAZP,D,20191219,000000,250.9500000,252.3000000,249.4000000,251.4000000,37.352.350
GAZP,D,20191220,000000,252.7100000,256.5800000,252.2200000,255.5000000,60.113.390
GAZP,D,20191223,000000,251.5000000,255.2000000,251.1100000,255.0000000,37.646.820
GAZP,D,20191224,000000,255.6000000,257.7100000,254.2600000,254.8700000,22.751.750
GAZP,D,20191225,000000,254.9000000,255.4900000,253.0200000,253.2500000,12.305.460
GAZP,D,20191226,000000,253.4500000,254.2400000,252.5000000,254.1000000,10.875.580
GAZP,D,20191227,000000,254.3300000,257.4900000,254.0000000,257.1100000,24.199.940
GAZP,D,20191230,000000,257.0900000,258.3000000,254.7100000,256.4000000,23.474.000
GAZP,D,20200103,000000,259.1000000,261.9000000,257.7700000,259.0000000,34.326.290
GAZP,D,20200106,000000,258.9100000,258.9600000,254.8000000,256.5500000,28.106.710
GAZP,D,20200108,000000,256.2500000,257.3200000,254.7700000,255.7900000,25.566.970
GAZP,D,20200109,000000,255.6600000,256.6800000,251.8200000,254.0700000,33.194.830
GAZP,D,20200110,000000,253.9900000,254.6000000,251.2000000,251.9000000,28.545.590
GAZP,D,20200113,000000,252.5000000,252.5000000,248.4000000,251.5000000,41.334.580
GAZP,D,20200114,000000,252.0000000,253.2000000,249.0000000,250.0000000,32.866.650
GAZP,D,20200115,000000,249.5000000,252.5000000,247.7500000,251.3000000,43.936.180
GAZP,D,20200116,000000,251.8700000,254.5400000,251.5000000,254.2600000,38.394.410
GAZP,D,20200117,000000,254.7600000,256.6000000,253.8000000,255.3900000,42.028.610
GAZP,D,20200120,000000,255.6500000,256.1000000,253.0100000,253.5000000,29.957.470
GAZP,D,20200121,000000,253.3700000,253.4000000,250.8800000,252.9900000,26.873.610
GAZP,D,20200122,000000,252.8100000,253.3900000,248.1000000,248.1000000,38.825.260
GAZP,D,20200123,000000,246.9000000,247.6600000,239.0100000,239.3000000,73.654.660
GAZP,D,20200124,000000,240.1200000,243.2500000,235.2800000,237.9500000,68.994.040
GAZP,D,20200127,000000,235.0100000,235.4000000,229.6500000,230.9600000,104.948.220
GAZP,D,20200128,000000,232.6100000,237.5900000,229.0000000,235.0000000,85.405.890
GAZP,D,20200129,000000,236.9000000,237.3600000,231.3000000,232.0000000,52.589.600
GAZP,D,20200130,000000,230.7000000,232.4900000,229.4500000,231.5300000,41.451.560
GAZP,D,20200131,000000,232.5300000,233.7900000,226.5700000,226.7000000,70.264.920
GAZP,D,20200203,000000,223.8100000,229.9800000,223.8000000,227.6400000,53.572.940
GAZP,D,20200204,000000,228.4700000,231.0800000,226.6500000,230.5000000,45.301.220
GAZP,D,20200205,000000,230.8900000,235.7300000,228.8000000,232.5600000,61.685.530
GAZP,D,20200206,000000,234.0400000,236.0000000,230.1500000,231.3800000,42.561.470
GAZP,D,20200207,000000,232.3800000,233.3900000,227.1400000,229.1100000,49.649.900
GAZP,D,20200210,000000,228.5800000,229.7500000,224.4100000,225.2000000,50.466.570
GAZP,D,20200211,000000,226.5600000,236.1800000,226.0100000,233.9000000,95.547.840
GAZP,D,20200212,000000,235.2000000,239.8000000,234.5600000,238.0300000,83.138.320
GAZP,D,20200213,000000,236.9000000,237.9800000,233.5500000,233.5500000,41.949.600
